Region,P_Outbreak,Fever_Type,P_Type,Severity_Index
Mysuru,0.015593468346194031,None,0.0,0.0
Salem,0.02530507431494744,None,0.0,0.0
Mangalore,0.14156070894951947,None,0.0,0.0
Tiruchirappalli,0.027571201005039247,None,0.0,0.0
Mysuru,0.26078959160869947,None,0.0,0.0
Belagavi,0.4826803734727505,None,0.0,0.0
Madurai,0.007650707112569494,None,0.0,0.0
Mysuru,0.10657581405487511,None,0.0,0.0
Mangalore,0.17766103081580534,None,0.0,0.0
Tiruchirappalli,0.9618964180149603,Typhoid,0.7025,0.6757322336555096
Salem,0.13195870668940426,None,0.0,0.0
Mangalore,0.940322805258469,Viral,0.6775,0.6370687005626128
Mangalore,0.001485045036424612,None,0.0,0.0
Madurai,0.11123702124713311,None,0.0,0.0
Bengaluru,0.04808194755285766,None,0.0,0.0
Tiruchirappalli,0.9454571637245368,Typhoid,0.6975,0.6594563716978644
Coimbatore,0.005232829386024344,None,0.0,0.0
Mangalore,0.12557353290969064,None,0.0,0.0
Bengaluru,0.3262191523989935,None,0.0,0.0
Coimbatore,0.6659514636230625,Dengue,0.7675,0.5111177483307004
Tiruchirappalli,0.4618754979661232,None,0.0,0.0
Chennai,0.6074112719489762,Viral,0.815,0.49504018663841554
Belagavi,0.36415006805353956,None,0.0,0.0
Bengaluru,0.05694965622910643,None,0.0,0.0
Hubballi,0.08130844441237363,None,0.0,0.0
Chennai,0.5495417102536645,Typhoid,0.46,0.25278918671668565
Belagavi,0.03051140623450297,None,0.0,0.0
Madurai,0.0671993964605869,None,0.0,0.0
Mysuru,0.17868336911897115,None,0.0,0.0
Salem,0.2943219823900552,None,0.0,0.0
Hubballi,0.17205605193117188,None,0.0,0.0
Madurai,0.7969658650161753,Typhoid,0.6575,0.5240050562481352
Tiruchirappalli,0.004636330896916748,None,0.0,0.0
Madurai,0.0007284459057499652,None,0.0,0.0
Mysuru,0.1077282814673105,None,0.0,0.0
Tiruchirappalli,0.008832820423926961,None,0.0,0.0
Hubballi,0.049935381513520886,None,0.0,0.0
Mysuru,0.14024884037318996,None,0.0,0.0
Coimbatore,0.36971865679705973,None,0.0,0.0
Salem,0.045860217334644994,None,0.0,0.0
Hubballi,0.10025800561435982,None,0.0,0.0
Coimbatore,0.17600276385849184,None,0.0,0.0
Belagavi,0.015073055461222304,None,0.0,0.0
Hubballi,0.08733246142109004,None,0.0,0.0
Belagavi,0.015641229359565682,None,0.0,0.0
Tiruchirappalli,0.08161199303220659,None,0.0,0.0
Coimbatore,0.08212510127595904,None,0.0,0.0
Salem,0.34107753599412416,None,0.0,0.0
Mysuru,0.3264184359812232,None,0.0,0.0
Mangalore,0.23961014795423494,None,0.0,0.0
Madurai,0.30979114439834954,None,0.0,0.0
Chennai,0.11598996671779689,None,0.0,0.0
Salem,0.5856780357009473,Typhoid,0.4925,0.28844643258271657
Coimbatore,0.028193836188435968,None,0.0,0.0
Mangalore,0.014267069458378029,None,0.0,0.0
Salem,0.030952279018435405,None,0.0,0.0
Coimbatore,0.07455430869789964,None,0.0,0.0
Bengaluru,0.01074201623406321,None,0.0,0.0
Bengaluru,0.6725225794541331,Typhoid,0.5175,0.34803043486751384
Belagavi,0.007998848243621903,None,0.0,0.0
Salem,0.08385847510391212,None,0.0,0.0
Bengaluru,0.26104772251918085,None,0.0,0.0
Coimbatore,0.18977689610511753,None,0.0,0.0
Belagavi,0.9630057478635274,Dengue,0.7475,0.7198467965279868
Coimbatore,0.048475701054927385,None,0.0,0.0
Belagavi,0.25027500717055956,None,0.0,0.0
Salem,0.08682224236274656,None,0.0,0.0
Mangalore,0.11259369688482956,None,0.0,0.0
Mysuru,0.00045776882137120597,None,0.0,0.0
Hubballi,0.1869111797829197,None,0.0,0.0
Mangalore,0.22359034973726488,None,0.0,0.0
Tiruchirappalli,0.3742301025551728,None,0.0,0.0
Coimbatore,0.3051272685617798,None,0.0,0.0
Tiruchirappalli,0.05213964112486401,None,0.0,0.0
Mangalore,0.07665359587726792,None,0.0,0.0
Belagavi,0.19816628033575803,None,0.0,0.0
Hubballi,0.5043830945919986,Viral,0.4525,0.22823335030287936
Hubballi,0.0011113505652659743,None,0.0,0.0
Chennai,0.05180277321472132,None,0.0,0.0
Hubballi,0.025975858273065238,None,0.0,0.0
Mysuru,0.5593916924985394,Typhoid,0.465,0.2601171370118208
Hubballi,0.017490738730293946,None,0.0,0.0
Mangalore,0.022973107707140786,None,0.0,0.0
Chennai,0.18564054027875332,None,0.0,0.0
Mangalore,0.050774990089522604,None,0.0,0.0
Mangalore,0.02307649577241935,None,0.0,0.0
Madurai,0.16586802114741206,None,0.0,0.0
Chennai,0.6701540380923613,Dengue,0.405,0.27141238542740637
Mangalore,0.05333475228124338,None,0.0,0.0
Madurai,0.07738558653579133,None,0.0,0.0
Madurai,0.07383769066394731,None,0.0,0.0
Chennai,0.6585265802236926,Dengue,0.73,0.4807244035632956
Tiruchirappalli,0.01625309548073443,None,0.0,0.0
Belagavi,0.0046774498280024715,None,0.0,0.0
Mysuru,0.8092484356687918,Dengue,0.535,0.4329479130828036
Belagavi,0.005660679757670503,None,0.0,0.0
Hubballi,0.004115400194638361,None,0.0,0.0
Mysuru,0.0450845078575051,None,0.0,0.0
Hubballi,0.10792849129702367,None,0.0,0.0
Mangalore,0.5868466036474346,Dengue,0.7025,0.41225973906232277
